photo,err_m,margin,boundary,rms_mrad,relief_mrad,verdict
04032011388_01024,354,1.004,0,3.9,12.8,TRUE-ACCEPT
04032011389_01024,791,0.496,0,4.8,21.1,FALSE-ACCEPT
04032011390_01024,1346,0.169,0,4.9,14.6,FALSE-ACCEPT
04032011391_01024,791,0.023,0,6.0,15.3,CAUGHT
2011-04-30_18.37.52_01024,750,0.146,0,9.3,38.1,CAUGHT
2011-04-30_18.40.20_01024,1000,0.791,0,8.6,66.4,FALSE-ACCEPT
2011-10-01_17.13.12_01024,3010,0.176,1,13.5,85.0,CAUGHT
2011-10-01_17.15.04_01024,2574,0.473,1,13.0,105.3,CAUGHT
2011-10-01_17.18.26_01024,2658,0.231,0,13.6,59.4,CAUGHT
2011-10-01_17.19.13_01024,2016,0.267,0,11.7,61.0,FALSE-ACCEPT
2011-10-04_14.25.54_01024,0,1.803,0,6.7,54.1,TRUE-ACCEPT
2011-10-04_14.26.04_01024,0,9.544,0,3.6,41.1,TRUE-ACCEPT
2011-10-04_14.26.13_01024,0,5.942,0,4.9,29.4,TRUE-ACCEPT
2011-10-04_14.31.44_01024,2236,0.862,0,16.1,39.8,CAUGHT
2011-10-04_14.42.53_01024,2795,0.066,1,15.6,57.7,CAUGHT
2011-10-04_14.43.05_01024,1677,0.059,0,12.5,56.9,CAUGHT
2011-10-04_14.44.30_01024,2915,0.010,1,12.3,38.4,CAUGHT
2011-10-04_14.48.13_01024,3536,0.105,1,13.1,73.9,CAUGHT
2011-10-04_14.48.49_01024,2016,0.126,0,13.1,49.8,CAUGHT
2011-10-04_14.56.14_01024,1677,0.026,0,18.8,101.5,CAUGHT
2011-10-04_15.06.11_01024,2574,0.213,1,12.0,34.3,CAUGHT
2011-10-04_15.06.31_01024,1118,0.172,0,12.2,123.5,CAUGHT
2011-10-04_15.06.42_01024,0,0.376,0,10.3,63.9,TRUE-ACCEPT
2011-10-04_15.09.39_01024,1250,0.462,0,8.7,24.0,FALSE-ACCEPT
2011-10-04_15.12.05_01024,1521,0.192,0,6.8,30.3,FALSE-ACCEPT
2011-10-04_15.13.14_01024,3182,0.123,1,20.8,97.7,CAUGHT
2011-10-04_15.15.40_01024,1768,0.052,0,19.2,124.3,CAUGHT
2011-10-04_15.19.34_01024,1346,0.007,0,11.7,79.0,CAUGHT
2011-10-04_15.20.30_01024,1677,0.263,0,7.7,33.3,FALSE-ACCEPT
2011-10-04_15.20.38_01024,2016,0.407,0,8.9,29.2,FALSE-ACCEPT
2011-10-04_15.20.55_01024,2358,0.691,0,7.6,30.8,FALSE-ACCEPT
2011-10-04_15.22.47_01024,2358,0.398,0,6.4,19.8,FALSE-ACCEPT
2011-10-04_15.28.13_01024,250,0.869,0,6.0,27.0,TRUE-ACCEPT
2011-10-04_15.46.39_01024,1250,0.286,0,7.1,21.9,FALSE-ACCEPT
2011-10-04_15.48.56_01024,3202,0.025,1,12.2,41.8,CAUGHT
2011-10-04_15.50.30_01024,2264,0.050,1,15.5,121.9,CAUGHT
2011-10-04_15.52.38_01024,1346,0.092,0,9.4,40.9,CAUGHT
2011-10-04_16.03.27_01024,2475,0.147,0,9.8,69.8,CAUGHT
2011-10-04_16.13.26_01024,3202,0.025,1,7.4,64.6,CAUGHT
2011-10-04_16.20.03_01024,1581,0.045,0,10.4,64.6,CAUGHT
2011-10-04_16.21.36_01024,559,0.047,0,6.4,37.4,CAUGHT
2011-10-06_11.24.33_01024,3536,0.979,1,10.5,76.3,CAUGHT
2011-10-06_14.41.52_01024,3363,0.002,1,11.1,56.3,CAUGHT
2011-10-06_14.42.18_01024,2610,0.034,1,24.2,60.7,CAUGHT
2011-10-06_14.42.24_01024,2062,0.166,0,10.3,39.4,FALSE-ACCEPT
2011-10-06_14.43.20_01024,2574,0.107,1,8.4,53.1,CAUGHT
2011-10-06_15.11.17_01024,1768,0.179,0,7.7,63.1,FALSE-ACCEPT
2011-10-07_10.26.24_01024,2658,0.047,0,22.2,10.8,CAUGHT
2011-10-07_10.52.05_01024,2915,0.051,1,13.1,74.9,CAUGHT
2011-10-07_11.01.09_01024,2512,0.120,1,10.9,105.8,CAUGHT
2011-10-07_11.37.54_01024,2016,1.538,0,7.9,46.6,FALSE-ACCEPT
2011-10-07_11.56.32_01024,750,0.025,0,10.9,43.5,CAUGHT
2012-02-18_18.32.18_01024,559,0.755,0,8.9,102.9,FALSE-ACCEPT
DSCF3435_01024,2795,0.013,1,7.2,24.4,CAUGHT
DSCF3436_01024,0,0.688,0,3.7,10.0,TRUE-ACCEPT
DSCF3440_01024,354,0.169,0,2.7,4.9,TRUE-ACCEPT
DSCF3441_01024,1581,0.061,0,5.5,14.9,CAUGHT
DSCF3442_01024,1061,0.026,0,4.7,14.4,CAUGHT
DSCF3452_01024,1521,0.347,0,5.8,23.3,FALSE-ACCEPT
DSCF3456_01024,500,1.367,0,4.7,52.3,FALSE-ACCEPT
DSCF3458_01024,0,5.518,0,1.8,24.8,TRUE-ACCEPT
IMG_1820_01024,2610,0.465,1,26.7,27.8,CAUGHT
IMG_1821_01024,2305,0.289,0,10.8,43.7,FALSE-ACCEPT
IMG_1838_01024,2016,0.035,0,20.3,33.1,CAUGHT
IMG_1840_01024,2016,0.453,0,12.3,49.0,CAUGHT
IMG_1854_01024,354,1.167,0,4.1,29.4,TRUE-ACCEPT
IMG_1855_01024,1000,0.906,0,15.6,153.9,CAUGHT
IMG_1856_01024,1414,0.660,0,9.7,40.5,FALSE-ACCEPT
IMG_4833_01024,354,1.479,0,4.8,23.7,TRUE-ACCEPT
IMG_4922_01024,0,0.289,0,6.6,22.2,TRUE-ACCEPT
IMG_4923_01024,250,0.365,0,6.8,23.6,TRUE-ACCEPT
IMG_4930_01024,707,0.145,0,8.5,33.2,CAUGHT
IMG_4948_01024,791,0.145,0,6.5,23.7,CAUGHT
IMG_4955_01024,250,0.436,0,5.6,19.7,TRUE-ACCEPT
IMG_4958_01024,0,1.487,0,6.0,39.8,TRUE-ACCEPT
IMG_4970_01024,250,0.821,0,5.6,26.5,TRUE-ACCEPT
IMG_4972_01024,707,0.021,0,5.0,24.9,CAUGHT
IMG_4985_01024,1031,0.461,0,6.0,30.1,FALSE-ACCEPT
IMG_4986_01024,250,0.808,0,4.9,13.6,TRUE-ACCEPT
IMG_4999_01024,559,0.887,0,4.6,31.2,FALSE-ACCEPT
IMG_5004_01024,0,0.431,0,7.7,25.8,TRUE-ACCEPT
IMG_5008_01024,354,0.191,0,5.4,25.6,TRUE-ACCEPT
IMG_5011_01024,750,0.646,0,5.2,21.9,FALSE-ACCEPT
IMG_5021_01024,500,0.216,0,6.3,23.5,FALSE-ACCEPT
IMG_5038_01024,250,1.193,0,4.6,38.0,TRUE-ACCEPT
IMG_5039_01024,250,0.104,0,7.1,32.6,OVER-CAUTIOUS
IMG_5040_01024,250,0.620,0,6.3,31.5,TRUE-ACCEPT
IMG_5045_01024,791,0.255,0,6.9,63.2,FALSE-ACCEPT
IMG_5046_01024,0,1.109,0,5.0,13.0,TRUE-ACCEPT
IMG_5104_01024,0,0.095,0,10.5,45.6,OVER-CAUTIOUS
IMG_5106_01024,354,0.829,0,5.3,36.2,TRUE-ACCEPT
IMG_5113_01024,250,2.469,0,5.5,29.5,TRUE-ACCEPT
IMG_5114_01024,0,1.525,0,5.9,18.4,TRUE-ACCEPT
IMG_5117_01024,2550,0.376,1,9.3,21.1,CAUGHT
IMG_5118_01024,559,0.071,0,8.3,32.8,CAUGHT
IMG_5125_01024,354,0.766,0,5.1,23.6,TRUE-ACCEPT
IMG_5126_01024,559,0.277,0,6.5,19.2,FALSE-ACCEPT
IMG_5128_01024,250,0.996,0,5.3,17.1,TRUE-ACCEPT
IMG_5130_01024,250,2.716,0,4.2,34.8,TRUE-ACCEPT
IMG_5131_01024,791,0.299,0,5.6,20.4,FALSE-ACCEPT
IMG_5133_01024,1031,0.084,0,8.2,34.4,CAUGHT
IMG_5141_01024,2372,0.230,1,5.9,24.8,CAUGHT
IMG_5143_01024,2512,0.263,1,7.5,37.2,CAUGHT
IMG_5145_01024,0,0.019,0,11.2,38.5,OVER-CAUTIOUS
IMG_5153_01024,250,1.188,0,4.6,19.1,TRUE-ACCEPT
IMG_5156_01024,0,0.900,0,6.0,24.8,TRUE-ACCEPT
IMG_5159_01024,500,0.113,0,5.9,18.5,CAUGHT
IMG_5178_01024,1953,0.022,0,8.3,25.9,CAUGHT
IMG_5180_01024,3052,0.299,1,8.3,33.3,CAUGHT
IMG_5181_01024,1118,0.096,0,9.2,27.0,CAUGHT
